股票代码,预告类型,预告日期,变动范围
002433,预升,2017-03-28,30%~40%
002026,预增,2017-03-28,50%~100%
002536,预增,2017-03-28,50%~80%
002411,预降,2017-03-28,-35%~-5%
002274,预增,2017-03-28,1012%~1135%
300159,预减,2017-03-28,-70%~-50%
002435,预增,2017-03-28,212.26%~248.09%
002123,预降,2017-03-28,-44.11%~-32.93%
300341,预增,2017-03-28,60%~89.9%
002749,预升,2017-03-28,5%~40%
002012,预盈,2017-03-28,0
002466,预升,2017-03-28,19.59%~47.73%
002659,预盈,2017-03-28,0
300319,预降,2017-03-28,-39.81%~-9.82%
300370,预亏,2017-03-28,0
300044,预增,2017-03-28,140%~170%
300037,预升,2017-03-28,15%~35%
300406,预升,2017-03-28,-25%~5%
300537,预升,2017-03-28,0%~15%
002119,预增,2017-03-28,46.57%~86.54%
002674,预增,2017-03-28,800%~1400%
300235,预降,2017-03-28,-25%~-5%
002654,预增,2017-03-28,185%~235%
300244,预增,2017-03-28,30%~60%
300215,预增,2017-03-28,145%~174%
300336,预升,2017-03-28,0%~20%
300086,预升,2017-03-28,-29.15%~0.83%
300103,预升,2017-03-28,10%~39%
300188,预增,2017-03-28,185%~233%
300567,预盈,2017-03-28,0
002342,预升,2017-03-28,0%~40%
300495,预亏,2017-03-28,0
002741,预升,2017-03-28,20%~50%
300451,预增,2017-03-28,2983.7%~3009.61%
300026,预升,2017-03-28,0%~20%
002596,预盈,2017-03-28,0
300027,预亏,2017-03-28,0
002090,预增,2017-03-28,40%~70%
002096,预亏,2017-03-28,0
002417,预盈,2017-03-28,0
300455,预升,2017-03-28,5%~25%
300575,预增,2017-03-28,29.35%~78.41%
002075,预增,2017-03-28,2018%~2640%
300296,预增,2017-03-28,100%~120%
002206,预升,2017-03-28,0%~30%
002265,预增,2017-03-28,185.64%~234.61%
600028,预增,2017-03-27,150
002456,预增,2017-03-27,50%~60%
002511,预增,2017-03-27,50%~80%
300108,预升,2017-03-27,0%~30%
002028,预减,2017-03-25,-90%~-50%
300256,预升,2017-03-25,-1.12%~20.86%
002078,预增,2017-03-25,180%~230%
300543,预升,2017-03-25,-15%~15%
002015,预亏,2017-03-25,0
002579,预减,2017-03-25,-97.74%~-96.84%
300350,预升,2017-03-25,0%~30%
300396,预升,2017-03-25,-10%~15%
300193,预升,2017-03-25,25%~45%
002234,预亏,2017-03-25,0
002272,预增,2017-03-25,297.86%~345.88%
002273,预增,2017-03-25,50%~80%
002521,预增,2017-03-25,60%~110%
002691,预降,2017-03-25,-80%~-30%
300223,预盈,2017-03-25,0
300324,预增,2017-03-25,145%~175%
300218,预减,2017-03-25,-110%~-80%
300113,预升,2017-03-25,30%~50%
002194,预亏,2017-03-25,0
300303,预升,2017-03-25,15%~45%
002064,预增,2017-03-25,247.43%~289.8%
300175,预增,2017-03-25,1020%~1050%
300147,预降,2017-03-25,-40%~-20%
300278,预升,2017-03-25,-12.76%~9.05%
300019,预减,2017-03-25,-95%~-65%
300227,预盈,2017-03-25,190%~220%
300552,预减,2017-03-25,-117.23%~-95.58%
300045,预升,2017-03-25,0%~30%
300182,预升,2017-03-25,5%~15%
002319,预亏,2017-03-25,0
300156,预升,2017-03-25,1%~11%
002603,预升,2017-03-25,15%~30%
002049,预降,2017-03-25,-30%~0%
002702,预减,2017-03-25,0
002434,预增,2017-03-24,190%~240%
002317,预升,2017-03-24,15%~20%
002845,预增,2017-03-24,213.83%~231.46%
300036,预增,2017-03-24,315.42%~345.26%
300115,预升,2017-03-24,40%~50%
300317,预增,2017-03-24,47.71%~76.83%
002205,预亏,2017-03-24,0
300452,预降,2017-03-24,-25%~0%
300434,预亏,2017-03-24,-386%~-356%
300342,预增,2017-03-24,50%~70%
300480,预升,2017-03-24,15%~35%
002042,预增,2017-03-24,30%~80%
300105,减亏,2017-03-23,0
300101,预降,2017-03-23,-54.63%~-36.49%
600300,预增,2017-03-23,0
300427,预亏,2017-03-23,0
002189,预盈,2017-03-23,0
002383,预盈,2017-03-23,0
300225,预降,2017-03-23,-40%~-10%
300294,预增,2017-03-23,60%~90%
300034,预升,2017-03-23,-9.27%~0.28%
300052,预升,2017-03-23,-10%~19.99%
300179,预增,2017-03-23,155%~185%
300534,预降,2017-03-23,-30%~0%
002226,预增,2017-03-23,1300%~1330%
002503,预增,2017-03-23,70%~100%
002685,预升,2017-03-23,10%~50%
002758,预升,2017-03-23,0
002649,预升,2017-03-23,0%~30%
300288,预增,2017-03-23,1475.05%~1504.96%
002046,预亏,2017-03-23,0
300136,预增,2017-03-22,160.07%~187.45%
300067,预升,2017-03-22,10%~30%
300110,预增,2017-03-22,67.45%~88.38%
300449,预亏,2017-03-22,0
002449,预升,2017-03-22,30%~50%
002694,预亏,2017-03-22,0
002079,预升,2017-03-22,0%~20%
300269,预升,2017-03-22,21.37%~40.72%
300181,预降,2017-03-22,-56.88%~-43.94%
002288,预增,2017-03-22,25%~55%
300491,预亏,2017-03-22,0
002045,预增,2017-03-22,450%~500%
002243,预增,2017-03-22,0
002635,预升,2017-03-22,0%~30%
002241,预增,2017-03-22,40%~60%
000068,预亏,2017-03-22,0
300230,预增,2017-03-22,200%~230%
300496,预降,2017-03-21,-40%~-20%
300125,预亏,2017-03-21,0
002247,预增,2017-03-21,420%~470%
300204,预升,2017-03-21,10%~30%
002747,预增,2017-03-21,150%~200%
300383,预增,2017-03-21,36.47%~66.43%
300507,预升,2017-03-21,5%~20%
300276,预升,2017-03-21,0%~30%
002615,预增,2017-03-21,220%~260%
300234,预亏,2017-03-21,0
300436,预降,2017-03-21,-30%~0%
002517,预增,2017-03-21,80.26%~128.98%
300559,预减,2017-03-21,-75%~-60%
300371,预亏,2017-03-21,0
300395,预增,2017-03-21,40%~70%
300563,预升,2017-03-21,0%~10%
300224,预减,2017-03-21,-90%~-70%
300611,预升,2017-03-21,-15%~15%
002139,预增,2017-03-21,70%~100%
002458,预减,2017-03-21,-97.64%~-88.21%
002295,预盈,2017-03-21,0
002513,预降,2017-03-21,-49.72%~-24.57%
002294,预升,2017-03-21,0%~15%
002069,预盈,2017-03-21,0
002044,预亏,2017-03-21,0
002583,预亏,2017-03-21,0
002534,预增,2017-03-21,262.76%~444.14%
300601,预降,2017-03-21,-55%~-25%
300459,预增,2017-03-20,460.63%~486.12%
002793,预增,2017-03-20,41.65%~73.84%
002486,预亏,2017-03-20,0
002092,预增,2017-03-20,916.78%~1098.34%
002723,预减,2017-03-20,-50%~0%
300374,预盈,2017-03-20,0
002231,预亏,2017-03-18,0
002315,预盈,2017-03-18,0
002074,预降,2017-03-18,-41.21%~-28.15%
300394,预升,2017-03-18,-5%~10%
002018,预增,2017-03-18,101.47%~151.03%
002564,预盈,2017-03-18,0
300328,预增,2017-03-17,120%~150%
000422,预增,2017-03-17,273%~385%
300403,预降,2017-03-17,-30%~-10%
002597,预升,2017-03-17,30%~45%
300080,预降,2017-03-17,-49.95%~-20.18%
300375,预升,2017-03-17,8.07%~14.62%
002640,预增,2017-03-17,75%~115%
000707,预增,2017-03-17,398%~696%
300031,预增,2017-03-17,50%~80%
002633,预亏,2017-03-17,0
002624,预增,2017-03-17,40.46%~65.55%
300018,预升,2017-03-17,0%~30%
002088,预增,2017-03-16,100%~140%
300066,预降,2017-03-16,-40%~-10%
002217,预增,2017-03-16,184.13%~213.81%
300072,预增,2017-03-16,97.16%~121.81%
002530,预增,2017-03-16,911%~1154%
002172,预增,2017-03-16,33.16%~81.58%
002334,预增,2017-03-16,70%~100%
002648,预增,2017-03-16,8039.64%~11578.6%
300518,预升,2017-03-16,0%~20%
300213,预升,2017-03-16,0%~20%
300625,预增,2017-03-16,17.93%~54.96%
002675,预增,2017-03-16,60%~100%
002371,预盈,2017-03-16,0
300271,预升,2017-03-16,20%~35%
300609,减亏,2017-03-16,62.41%~81.2%
002034,预盈,2017-03-15,0
002772,预降,2017-03-15,-60%~-40%
300285,预增,2017-03-15,184.58%~211.05%
300310,预升,2017-03-15,10.33%~30.16%
300334,预升,2017-03-15,0%~30%
002159,预亏,2017-03-15,0
002555,预增,2017-03-15,79.89%~103.56%
300457,预增,2017-03-15,50.02%~78.14%
002408,预增,2017-03-15,365%~415%
002190,预减,2017-03-15,-100%~-50%
300419,预升,2017-03-15,3.5%~18.29%
002145,预盈,2017-03-15,0
300069,预降,2017-03-14,-35%~-5%
300073,预升,2017-03-14,14.27%~26.97%
300520,预亏,2017-03-14,0
300122,预升,2017-03-14,-25%~5%
300114,预升,2017-03-14,20%~40%
300622,预升,2017-03-14,11.07%~39.23%
002696,预升,2017-03-14,0
002283,预增,2017-03-14,100%~150%
300172,预升,2017-03-14,0%~10%
300511,预降,2017-03-14,-43%~-14%
300017,预降,2017-03-14,-30%~0%
002013,预盈,2017-03-14,0
002717,预增,2017-03-14,30%~70%
002155,预盈,2017-03-14,0
300598,预增,2017-03-13,37%~64%
300472,预增,2017-03-13,30%~60%
300603,预盈,2017-03-13,277.51
002109,预盈,2017-03-13,0
300623,预升,2017-03-13,20.61
002858,减亏,2017-03-13,31.06%~37.63%
000049,预增,2017-03-13,55%~95%
002625,预增,2017-03-11,210%~260%
300068,预升,2017-03-11,0%~30%
300493,预升,2017-03-10,10.77%~20.64%
300023,预减,2017-03-10,-94.3%~-64.3%
002683,预盈,2017-03-10,0
300221,预升,2017-03-10,-29.11%~6.33%
600282,预增,2017-03-10,0
300207,预增,2017-03-10,40%~70%
300476,预升,2017-03-10,10%~20%
300422,预增,2017-03-10,263%~293%
300024,预升,2017-03-10,5%~20%
300386,预减,2017-03-10,-80%~-60%
300595,预升,2017-03-10,15.43%~41.66%
002713,预亏,2017-03-10,0
002740,预升,2017-03-10,-20%~30%
002575,预亏,2017-03-10,0
002195,预增,2017-03-10,100%~130%
002677,预增,2017-03-10,30%~70%
300083,预增,2017-03-10,303.92%~321.48%
300450,预增,2017-03-09,60%~90%
002578,预升,2017-03-09,10%~40%
002355,预增,2017-03-09,50%~100%
002526,预亏,2017-03-09,0
300629,预升,2017-03-09,15.12%~27.45%
603955,预升,2017-03-09,0%~10%
