股票代码,股票名称,所属行业,PE(动),总市值,基本每股收益(元),每股净资产(元),每股经营现金流(元),每股公积金(元),总股本(万股),每股未分配利润(元),加权净资产收益率(%),毛利率(%),资产负债率(%),营业总收入同比增长(%),归属净利润同比增长(%),扣非净利润同比增长(%),预告类型,预告日期,变动范围,score
603444,吉比特,软件服务,42.81,250.6,2.2857,30.3215,1.5724,13.6115,7173.99,15.214,8.15,92.42,17.91,317.67,198.34,208.0,预升,2017-04-13,21%~37%,46
603444,吉比特,软件服务,42.81,250.6,2.2857,30.3215,1.5724,13.6115,7173.99,15.214,8.15,92.42,17.91,317.67,198.34,208.0,预增,2017-04-13,173%~209%,46
300148,天舟文化,文化传媒,86.12,131.9,0.09,6.7706,-0.1119,4.7606,64994.96,0.9772,1.35,72.53,9.41,182.68,463.2,459.1,预增,2017-04-07,455%~484%,39
600258,首旅酒店,旅游酒店,88.8,186.0,0.3103,9.8854,2.1805,7.4099,67978.56,1.1382,12.78,94.49,59.5,389.4,110.66,362.6,预增,2017-04-15,380%~450%,39
2601,龙蟒佰利,化工行业,215.19,342.8,0.29,6.3537,0.0282,4.7152,203216.47,0.5388,4.63,39.77,29.66,271.09,3440.83,3374.09,预增,2017-04-15,3227.87%~3530.4%,38
971,高升控股,电子信息,95.22,105.7,0.25,6.8691,0.1168,6.4847,51127.37,-0.6362,5.59,32.9,8.02,323.11,4167.7,3971.07,预升,2017-04-12,0,37
676,智度股份,电子信息,83.14,166.5,0.4552,4.7715,0.1735,3.6263,96571.08,0.05,11.63,21.51,28.99,644.37,8922.67,0.0,预盈,2017-04-15,0,37
300209,天泽信息,软件服务,115.15,81.27,0.36,6.8454,0.0581,5.0726,29212.23,0.7093,6.33,41.28,17.79,145.8,5437.08,0.0,预增,2017-04-07,80.64%~110.2%,37
300063,天龙集团,化工行业,48.89,80.40,0.4245,7.5391,0.4763,5.582999999999999,29057.08,0.8976,5.83,11.18,41.13,410.58,760.0,850.35,预升,2017-04-10,0.01%~29.97%,36
300441,鲍斯股份,机械行业,115.55,78.62,0.0849,3.8139,0.0488,2.213,36796.29,0.5279,2.88,38.42,24.9,200.83,382.06,405.66,预增,2017-04-10,370%~400%,36
34,神州数码,通讯行业,35.93,159.9,0.67,4.0487,0.5288,3.6397,65407.04,-0.7269,19.04,4.88,84.44,8748.37,1790.14,0.0,预盈,2017-04-15,0,36
2147,新光圆成,机械行业,36.37,231.0,0.016,5.2548,-0.3921,2.0621,140621.26,2.1437,0.3,45.4,51.57,233.9,340.2,360.33,,,,35
766,通化金马,医药制造,97.89,175.1,0.23,4.2658,0.0938,3.7687,96649.47,-0.6153,5.71,68.74,21.53,330.29,3010.27,3017.19,,,,34
600382,广东明珠,国际贸易,41.76,73.99,0.1392,10.3499,-1.5301,4.1744,46682.47,4.7497,1.35,80.75,19.85,82.15,249.47,403.7,,,,34
300410,正业科技,电子元件,159.06,82.69,0.12,9.1763,0.0237,6.9898,19710.78,1.4362,1.67,37.43,26.65,114.71,958.01,1066.03,预增,2017-04-07,950.01%~980%,34
