股票代码,股票名称,所属行业,PE(动),总市值
600000,浦发银行,银行,6.38,3463
600001,邯郸钢铁,-,0.0,0
600002,齐鲁石化,-,0.0,0
600003,ST东北高,高速公路,0.0,0
600004,白云机场,民航机场,13.1,184.6
600005,武钢股份,钢铁行业,0.0,0
600006,东风汽车,汽车行业,45.36,137.4
600007,中国国贸,房地产,30.6,210.0
600008,首创股份,公用事业,39.59,207.3
600009,上海机场,民航机场,20.16,565.8
600010,包钢股份,钢铁行业,317.6,996.4
600011,华能国际,电力行业,12.35,1088
600012,皖通高速,高速公路,30.66,286.1
600015,华夏银行,银行,6.23,1214
600016,民生银行,银行,6.0,3134
600017,日照港,港口水运,73.47,129.5
600018,上港集团,港口水运,25.78,1360
600019,宝钢股份,钢铁行业,19.1,1426
600020,中原高速,高速公路,12.51,106.8
600021,上海电力,电力行业,23.62,257.6
600022,山东钢铁,钢铁行业,697.7,227.4
600023,浙能电力,电力行业,9.85,767.1
600026,中远海能,港口水运,9.9,293.5
600027,华电国际,电力行业,10.05,498.1
600028,中国石化,石油行业,14.84,6889
600029,南方航空,民航机场,9.21,791.3
600030,中信证券,券商信托,19.04,1974
600031,三一重工,机械行业,246.08,572.8
600033,福建高速,高速公路,14.08,101.0
600035,楚天高速,高速公路,23.18,99.87
600036,招商银行,银行,7.78,4830
600037,歌华有线,文化传媒,27.07,214.8
600038,中直股份,航天航空,68.55,301.0
600039,四川路桥,工程建设,20.2,154.9
600048,保利地产,房地产,12.08,1146
600050,中国联通,电信运营,1024.93,1579
600051,宁波联合,综合行业,30.4,39.54
600052,浙江广厦,房地产,16.22,57.97
600053,九鼎投资,多元金融,48.36,176.9
600054,黄山旅游,旅游酒店,30.44,132.3
600055,万东医疗,医疗行业,111.02,66.48
600056,中国医药,医药制造,25.74,244.0
600057,象屿股份,交运物流,26.07,130.4
600058,五矿发展,国际贸易,547.9,158.6
600059,古越龙山,酿酒行业,67.6,86.43
600060,海信电器,家电行业,13.53,238.0
600061,国投安信,券商信托,20.03,564.5
600062,华润双鹤,医药制造,23.81,170.0
600063,皖维高新,化工行业,61.15,81.80
600064,南京高科,房地产,11.41,138.0
600065,*ST联谊,-,0.0,0
600066,宇通客车,汽车行业,11.6,469.1
600067,冠城大通,房地产,32.58,104.7
600068,葛洲坝,工程建设,18.17,543.4
600069,银鸽投资,造纸印刷,0.0,143.6
600070,浙江富润,纺织服装,69.28,69.73
600071,凤凰光学,文教休闲,0.0,52.36
600072,中船科技,船舶制造,0.0,150.8
600073,上海梅林,食品饮料,26.19,101.5
600074,保千里,安防设备,40.23,330.3
600075,新疆天业,综合行业,18.79,100.1
600076,康欣新材,木业家具,29.4,112.4
600077,宋都股份,房地产,59.91,68.08
600078,澄星股份,化肥行业,83.28,50.02
600079,人福医药,医药制造,32.25,267.9
600080,金花股份,医药制造,104.31,35.38
600081,东风科技,汽车行业,46.22,47.91
600082,海泰发展,房地产,0.0,52.08
600083,博信股份,工程建设,663.44,42.69
600084,中葡股份,酿酒行业,0.0,130.8
600085,同仁堂,医药制造,46.74,436.1
600086,东方金钰,珠宝首饰,49.79,146.5
600087,退市长油,港口水运,0.0,0
600088,中视传媒,文化传媒,0.0,65.99
600089,特变电工,输配电气,15.64,368.5
600090,同济堂,医疗行业,50.2,165.7
600091,ST明科,化工行业,256.01,38.45
600092,S*ST精密,-,0.0,0
600093,禾嘉股份,交运物流,26.72,158.4
600094,大名城,房地产,19.41,205.7
600095,哈高科,房地产,269.47,41.44
600096,云天化,化肥行业,0.0,117.2
600097,开创国际,农牧饲渔,0.0,39.63
600098,广州发展,电力行业,19.85,262.0
600099,林海股份,交运设备,1854.68,35.87
600100,同方股份,电子信息,6.15,417.9
600101,明星电力,电力行业,45.64,38.12
600102,莱钢股份,钢铁行业,0.0,0
600103,青山纸业,造纸印刷,193.17,93.30
600104,上汽集团,汽车行业,9.48,2919
600105,永鼎股份,通讯行业,43.68,92.99
600106,重庆路桥,高速公路,23.49,69.35
600107,美尔雅,纺织服装,0.0,51.84
600108,亚盛集团,农牧饲渔,143.47,104.0
600109,国金证券,券商信托,30.61,413.7
600110,诺德股份,材料行业,411.38,149.2
600111,北方稀土,有色金属,984.77,450.9
600112,天成控股,输配电气,768.27,56.22
600113,浙江东日,房地产,61.34,60.98
600114,东睦股份,金属制品,43.34,76.22
600115,东方航空,民航机场,11.74,1047
600116,三峡水利,电力行业,47.48,109.8
600117,西宁特钢,钢铁行业,0.0,61.24
600118,中国卫星,航天航空,95.93,381.5
600119,长江投资,交运物流,37.19,62.19
600120,浙江东方,国际贸易,23.27,146.9
600121,郑州煤电,煤炭采选,0.0,52.80
600122,宏图高科,商业百货,38.06,151.3
600123,兰花科创,煤炭采选,0.0,89.34
600125,铁龙物流,交运物流,51.94,125.5
600126,杭钢股份,钢铁行业,30.37,214.1
600127,金健米业,农牧饲渔,471.64,47.56
600128,弘业股份,国际贸易,75.34,36.87
600129,太极集团,医药制造,6.35,78.80
600130,波导股份,通讯行业,207.41,63.90
600131,岷江水电,电力行业,33.64,55.20
600132,重庆啤酒,酿酒行业,30.39,106.8
600133,东湖高新,工程建设,115.45,51.69
600135,乐凯胶片,材料行业,101.31,55.95
600136,当代明诚,文化传媒,66.95,81.80
600137,浪莎股份,纺织服装,406.11,45.14
600138,中青旅,旅游酒店,27.52,161.0
600139,西部资源,汽车行业,0.0,83.73
600141,兴发集团,化工行业,73.76,75.25
600143,金发科技,塑胶制品,25.57,210.3
600145,*ST新亿,玻璃陶瓷,88.67,27.88
600146,商赢环球,纺织服装,580.87,167.9
600148,长春一东,汽车行业,368.11,50.68
600149,廊坊发展,房地产,0.0,70.48
600150,中国船舶,船舶制造,0.0,387.0
600151,航天机电,电子元件,78.49,157.3
600152,维科精华,纺织服装,0.0,37.39
600153,建发股份,交运物流,18.0,315.6
600155,宝硕股份,化工行业,0.0,230.1
600156,华升股份,纺织服装,444.55,42.14
600157,永泰能源,煤炭采选,80.02,492.1
600158,中体产业,文教休闲,264.56,161.4
600159,大龙地产,房地产,32.15,45.65
600160,巨化股份,化工行业,260.64,245.6
600161,天坛生物,医药制造,87.66,214.9
600162,香江控股,房地产,20.54,130.7
600163,中闽能源,电力行业,74.17,58.17
600165,新日恒力,金属制品,0.0,102.0
600166,福田汽车,汽车行业,68.54,212.1
600167,联美控股,电力行业,21.85,152.7
600168,武汉控股,公用事业,24.71,74.29
600169,太原重工,机械行业,0.0,113.8
600170,上海建工,工程建设,17.64,369.6
600171,上海贝岭,电子元件,243.51,92.18
600172,黄河旋风,材料行业,40.35,137.2
600173,卧龙地产,房地产,103.1,83.25
600175,美都能源,石油行业,157.96,172.0
600176,中国巨石,玻璃陶瓷,17.37,264.1
600177,雅戈尔,纺织服装,8.18,360.7
600178,东安动力,汽车行业,74.01,58.13
600179,安通控股,交运物流,53.83,185.6
600180,瑞茂通,煤炭采选,36.98,144.8
600181,S*ST云大,-,0.0,0
600182,S佳通,汽车行业,61.95,98.74
600183,生益科技,电子元件,28.84,192.2
600184,光电股份,航天航空,1232.07,125.4
600185,格力地产,房地产,24.58,119.7
600186,莲花健康,食品饮料,0.0,51.51
600187,国中水务,公用事业,622.18,100.7
600188,兖州煤业,煤炭采选,39.23,532.5
600189,吉林森工,木业家具,70.21,36.30
600190,锦州港,港口水运,170.42,90.90
600191,华资实业,食品饮料,241.07,51.31
600192,长城电工,输配电气,208.45,46.52
600193,创兴资源,有色金属,1017.59,41.94
600195,中牧股份,医药制造,30.86,88.32
600196,复星医药,医药制造,23.41,679.4
600197,伊力特,酿酒行业,31.51,87.23
600198,大唐电信,通讯行业,0.0,147.9
600199,金种子酒,酿酒行业,426.36,57.02
600200,江苏吴中,医药制造,149.38,120.1
600201,生物股份,农药兽药,33.09,214.1
600202,哈空调,机械行业,0.0,57.35
600203,福日电子,通讯行业,77.6,49.48
600205,S山东铝,-,0.0,0
600206,有研新材,材料行业,174.43,83.54
600207,安彩高科,玻璃陶瓷,3917.56,83.28
600208,新湖中宝,房地产,45.79,423.9
600209,罗顿发展,装修装饰,0.0,78.71
600210,紫江企业,包装材料,25.31,83.12
600211,西藏药业,医药制造,37.97,75.30
600212,江泉实业,综合行业,113.36,50.50
600213,亚星客车,汽车行业,58.65,33.92
600215,长春经开,房地产,322.77,64.97
600216,浙江医药,医药制造,22.04,119.0
600217,中再资环,环保工程,145.11,122.8
600218,全柴动力,机械行业,41.93,39.79
600219,南山铝业,有色金属,49.61,305.3
600220,江苏阳光,纺织服装,42.66,74.54
600221,海南航空,民航机场,12.67,574.8
600222,太龙药业,医药制造,1586.56,45.51
600223,鲁商置业,房地产,59.92,55.35
600225,*ST松江,房地产,0.0,62.12
600226,升华拜克,农药兽药,50.84,119.8
600227,赤天化,化工行业,0.0,125.4
600228,*ST昌九,化工行业,0.0,36.13
