股票代码,基本每股收益(元),每股净资产(元),每股经营现金流(元),每股公积金(元),总股本(万股),每股未分配利润(元),加权净资产收益率(%),毛利率(%),资产负债率(%),营业总收入同比增长(%),归属净利润同比增长(%),扣非净利润同比增长(%)
600000,0.63,16.1965,-9.2964,3.4544,2161827.99,5.1275,3.96,0.0,93.46,0.4,3.88,2.37
600004,0.35,9.3954,0.3837,2.9947,115641.69,4.8382,3.54,38.68,38.93,8.59,17.45,11.09
600005,0.037,2.8527,0.355,0.9837,1009377.98,0.4154,1.3,7.75,69.91,-12.34,0.0,0.0
600006,0.0352,3.2859,-0.2394,0.3073,200000.0,1.6176,1.08,11.56,64.81,15.85,-42.04,-40.64
600007,0.16,6.2481,0.3849,1.859,100728.25,2.8891,2.55,54.3,45.54,5.41,-10.02,-10.02
600008,0.0218,1.6499,0.0028,0.1228,482061.41,0.4242,1.16,33.75,66.99,24.77,9.35,6.71
600009,0.41,11.9816,0.2552,1.3366,192695.84,8.9653,3.49,45.35,15.21,15.77,23.46,23.56
600010,0.0061,1.4565,0.0332,0.443,3256073.76,-0.0195,0.42,9.37,66.54,95.92,0.0,0.0
600011,0.04,4.8581,0.5032,0.923,1520038.34,2.3327,0.89,12.3,75.22,7.54,-86.97,-88.29
600012,0.177,5.4097,0.2895,0.1691,165861.0,3.6663,3.33,60.0,27.24,5.81,15.47,14.35
600015,0.34,12.6821,0.7008,2.6917,1068557.22,5.804,2.73,0.0,93.48,8.02,1.53,1.45
600016,0.39,9.5125,-1.2031,1.7745,3648534.88,3.969,16.71,0.0,93.84,-9.73,3.6,3.6
600017,0.035,3.3833,0.0807,0.961,307565.39,1.2341,1.04,24.07,42.05,5.66,34.83,33.9
600018,0.0493,2.7531,0.0342,0.3699,2317367.47,1.0986,1.86,28.25,40.12,12.48,-6.4,-11.58
600019,0.17,6.9552,0.0882,2.1793,2210265.69,2.5204,2.5,11.86,55.43,76.77,142.89,155.36
600020,0.2014,4.1769,0.3394,0.7894,224737.18,1.784,4.95,46.24,74.3,139.31,179.01,175.03
600021,0.0342,4.8198,0.1571,1.8539,213973.93,1.7249,0.71,13.93,71.61,6.33,-78.04,-79.08
600022,0.0537,1.9601,-0.1418,1.2648,842042.28,-0.3909,2.79,5.03,50.82,55.54,0.0,0.0
600023,0.07,4.3672,0.1657,1.7522,1360069.0,1.2734,1.59,11.77,36.57,35.18,-36.53,-37.98
600026,0.1397,6.9292,0.1933,1.8837,403203.29,3.2392,2.03,31.37,52.83,-38.75,3.07,3.62
600027,0.001,4.3226,0.2334,1.3334,986297.67,1.6777,0.03,9.05,72.65,13.38,-99.35,-102.76
600028,0.137,6.0181,0.1097,0.9872,12107120.96,2.4101,2.31,19.9,42.28,40.6,168.71,160.98
600029,0.16,4.5576,0.291,1.421,981756.7,1.9143,3.53,14.75,71.97,10.58,-42.44,-44.1
600030,0.19,12.0196,-3.1313,4.4883,1211690.84,4.0872,1.6,0.0,76.16,13.36,40.18,51.16
600031,0.097,3.0236,0.3919,0.0765,765795.2,1.8754,3.22,32.55,59.95,79.38,727.06,0.0
600033,0.0783,3.156,0.1341,0.6051,274440.0,1.2316,2.51,69.8,42.31,-1.62,25.43,23.44
600035,0.11,3.3402,0.1606,0.7873,173079.59,1.0755,3.56,52.44,46.58,49.29,26.89,26.41
600036,0.79,16.6787,-8.4992,2.6774,2521984.56,8.6824,19.42,0.0,92.97,-2.02,8.87,8.56
600037,0.1275,9.1987,0.1394,4.705,139177.79,2.5333,1.39,31.69,15.51,-6.76,-3.9,15.84
600038,0.1205,11.7699,0.9303,7.1805,58947.67,2.8154,1.03,12.78,65.22,-14.59,27.6,25.95
600039,0.0303,3.1936,0.0412,0.407,301973.27,1.523,0.96,11.44,82.49,-40.21,-17.48,-20.71
600048,0.16,7.6995,-1.1596,1.2596,1185844.11,5.1959,2.1,38.32,76.41,-5.09,38.73,35.92
600050,0.0129,3.6822,1.0359,1.3121,2119659.64,1.4015,0.35,24.97,61.47,-1.9,88.29,74.26
600051,0.0282,6.261,0.6843,0.4715,31088.0,2.9546,0.44,18.57,74.74,30.48,106.08,0.0
600052,0.02,2.4293,0.2639,0.1185,87178.91,0.6212,0.95,52.04,51.8,-44.17,0.0,0.0
